,pmid,flag,structure
2015,21865650,0, Insulin and the brain Are the central effects of insulin physiologically relevant? Figure 1 Making sense of the data Lessons from 30 years of work in rodents A multistep process starting with human fetal pancreas
2016,16820550,1, O METHODS RESULTS Baseline Characteristics EXTREME OBESITY AND MORTALITY Modeling Outcomes COMMENT EXTREME OBESITY AND MORTALITY
2017,16734901,0, Background Blood Glucose Results Physiological parameters and vaginal blood flow Vaginal tissue morphology Protein expression of biochemical markers related to vaginal hemodynamics Effect of diabetes on vaginal blood flow in rats Expression of estrogen and androgen receptors Discussion Conclusion Methods Animals Assessment of estrus cycle phase In vivo assessment of vaginal blood flow Measurement of plasma hormones Tissue procurement Histology Preparation of cytosolic and nuclear extracts from vaginal tissue Western blot analyses
2018,23537696,1, Introduction Q2 Q4. Q5. Q6. Introduction Methods Executive summary Q1. Which patients should be offered bariatric surgery? Q2. Which bariatric surgical procedure should be offered? Q3. How should potential candidates for bariatric surgery be managed preoperatively? Q4. What are the elements of medical clearance for bariatric surgery? Q5. How can early postoperative care be optimized? Q6. How can optimal follow-up of bariatric surgery be achieved? Q7. What Evidence base Q1. Which patients should be offered bariatric surgery? Q3. How should potential candidates for bariatric surgery be managed preoperatively? Q4. What are the elements of medical clearance for bariatric surgery? Q6. How can optimal follow-up of bariatric surgery be achieved? Disclaimer
2019,20442067,0," INTRODUCTION Chronic sleep deprivation in humans The duration and limit of sleep time Night 6. IJOMEH 2010;23(1) 98 Total sleep deprivation in animals ThE cONSEquENcES Of SLEEp LOSS OR SLEEp RESTRIcTION post-deprivation recovery: rebound sleep Dermal effects Metabolic alterations, hunger and obesity R E V I E W P A P E R S IJOMEH 2010;23(1) 103 Therapeutic applications of sleep restriction SuMMARY"
2020,16278773,1, HbA 1c Methodology and Manufacturer Standardisation Methods Based on Charge Differences Methods Based on Structural Differences Methods Based on Chemical Reactivity (a) Thiobarbituric acid colorimetry (b) Immunoassays Overall Manufacturer Standardisation Inter-laboratory Harmonisation DCCT USA Standardisation Scheme College of American Pathologists (CAP) Surveys Japanese Standardisation Scheme Swedish Standardisation Scheme Standardisation of HbA 1c Methods in Australia and New Zealand IFCC Global Standardisation Conclusion
2021,24079455,1," Introduction Material and Methods Exclusion Criteria Protocol Techniques Statistical Analysis Study Variables Results Discussion Hearing Screening Process Variables Studied Weaning Gender Mother's Employment, Education, Origin and Type of Delivery Smoking Presentation Resuscitation Gestational Age Maternal Pathology Weight and Length Study Limitations Conclusions Conflict of Interests"
2022,17973055,0, Introduction Ketoacidosis S120 Hyperglycemia Electrolytic disorders Sodium Correction of dehydration and electrolytic disorders Expansion stage (1-4 hours) Cardiac arrhythmias Aspiration of gastric content Pulmonary edema Cerebral edema
2023,19956074,0, Acute studies Intermediate length studies Meta-analyses of beverage consumption Experimental studies of fructose and fat Potential mechanisms for the detrimental effects of fructose Conclusion References and recommended reading 16 29 44 45 46
2024,16148106,1, GAD-65 T cell determinants BDC2.5 T cells Materials and Methods Generation of GAD-65-Fc transgenic mice Peptides and Ags Immunization and proliferation assays Production of Ag-specific APC and generation of T cell lines FACS CFSE-labeled adoptive transfer experiments Diabetes Results 3623 Self tolerance in BDC2.5 and GAD-65 double-transgenic mice Inhibition of expansion of BDC2.5 T cells in the pancreas of GAD-65-Fc transgenic mice GAD-65 promotes lymphopenia-induced proliferation of BDC2.5 T cells Discussion
2025,28419394,1, INTRODUCTION Figure. TABLE 1 Consensus Opinion/Recommendation PATIENTS AND METHODS RESULTS Disease Classification First-line Treatment for Center-Involved DME: Anti-VEGF Therapy Evaluating the Response to Anti-VEGF Therapy Reasons to Change Therapy Treatment When the Response to Anti-VEGF Is Inadequate Role of Corticosteroids in the Treatment Paradigm Patient Monitoring Choosing Among Corticosteroid Options Management of the Side Effects of Corticosteroid Treatment DISCUSSION Draft Questions for DME Round 1 Delphi Survey [via SurveyMonkey]
2026,10544852,0, Letters to the Editor Hypophosphoremia secondary to idiopathic moderate phosphate diabetes: A differential diagnosis with primary fibromyalgia
2027,23115070,1, Introduction Material and methods Study population Coronary angiography Biochemical investigations Statistical analysis PRACE ORYGINALNE Results Rycina 1. Korelacje między odsetkiem HbA 1c i wskaźnikiem Gensiniego w grupie 1 Discussion
2028,28529199,1, Introduction Methods Statistical Analysis Results Discussion Study Limitations Conclusion Ethics Authorship Contributions Financial Disclosure:
2029,18758867,0, Slow Onset Type 1 Diabetes (Latent Autoimmune Diabetes in the Adult) GLP-1 GLP-1 Mimetic
2030,20849553,1, METHODS Intervention Design Pay for Performance Study Samples Data Sources Variable Construction Dependent Measures HSR: Health Services Research xx:xx Statistical Analysis RESULTS HSR: Health Services Research xx:xx DISCUSSION ACKNOWLEDGMENTS HSR: Health Services Research xx:xx
2031,24645233,0, editorials
2032,20534947,1, Introduction Methods Study Population Data Collection Statistical Analysis Results Discussion Increased Incidence of AMI Among Male Patients Changes in the Prevalence of Coronary Risk Factors in AMI Patients Insufficient Treatment of Coronary Risk Factors
2033,23521842,0, Background Methods Study population Definitions Statistical analysis Results Obesity profile of DN patients in China Obesity and improved renal survival in DN patients Obesity and increased proteinuria at early stage DN Discussion Total Conclusions Additional file
2034,1832220,0, Introduction Case Report Discussion
2035,22305818,0, Tabla A
2036,15601960,0, Introduction Fructose and Obesity GI Criticisms of the GI Fructose Metabolism and Effects on Weight Gain Alternatives to GI
2037,18155481,1, Introduction Methods Patients ARTICLE IN PRESS + MODEL Insulin-resistance assay Endothelial nitric oxide synthase (eNOS) gene polymorphism Statistical analysis ARTICLE IN PRESS Results ARTICLE IN PRESS + MODEL Discussion ARTICLE IN PRESS
2038,25617622,0," Introduction Materials and Methods RMEC cell culture Treatment and RNA isolation Library preparation and sequencing RNA-seq alignment and differential expression Pathway analysis Results RNA-seq quality and alignment Differential expression TNFα effect on HRMEC gene expression Validation of five differentially regulated genes by qRT-PCR Discussion 29,30] Genes Supporting Information"
2039,12575889,0, Ramifications of perioperative hyperglycemia Preoperative evaluation Management of diabetes during surgery IV insulin and glucose infusion Diabetes therapy after surgery Surgery in the hypothyroid patient Surgery in the patient with hyperthyroidism Page 7 of 15 Journal Article Perioperative management of the patient with pheochromocytoma Preoperative preparation The patient on chronic glucocorticoids Suppression of the HPA axis Testing the HPA axis Supplemental glucocorticoid regimens Minor procedures or local anesthesia Summary References
2040,19346772,0, Introduction Metabolism of Methionine Human Pregnancy Dietary Protein Restriction and IUGR Methionine and Nonalcoholic Fatty Liver Disease Discussion
2041,18368211,0," Introduction Bulletin of the World Health Organization 2008;86:229-237. ‫املقالة‬ ‫لهذه‬ ‫الكامل‬ ‫النص‬ ‫نهاية‬ ‫يف‬ ‫الخالصة‬ ‫لهذه‬ ‫العربية‬ ‫الرتجمة‬ Costs and rationing of dialysis Kidney transplantation Addressing the burden of ESKD in LMIC Establishing organ donor and transplant programmes Health systems and financing Policy and regulation Cost of drugs and dialysis consumables Improving equity of access to RRT Local legislation, regulation and policy Community Health system and health professionals Conclusions Acknowledgements Résumé"
2042,18647412,0, Background Methods Targeted Inactivation of the Selenocysteine tRNA [Ser]Sec gene Trsp in Podocytes Induction of diabetes Immunohistology Biochemical Analysis Histology and Morphometry Results Deletion of selenoproteins in PodoTrsp -/-podocytes PodoTrsp -/-and control mice developed similar degrees of hyperglycemia and body weight changes in response to STZ PodoTrsp -/-mice do not have an increased susceptibility to nephropathy after 6 months of diabetes PodoTrsp -/-mice do not have increased glomerular or podocyte oxidative stress after 6 months of diabetes Discussion Conclusion
2043,17289660,1, Introduction Theoretical framework Objectives Methods Recruitment and sample The course B. Thoolen et al. Measures Analysis Results Discussion Beyond Good Intentions
2044,22580531,0, Introduction Patientssand Methods Patients Cellssanddreagents Shortttermmincubation Longgtermmincubation CytosoliccCa 2+ measurements Statisticallanalysis Results InsulinnmodulatessTCRRresponseeoffhuman lymphocytessfrommhealthyysubjects InsulinnabolishesseffectssoffTCRRactivation Longgtermmtypee11diabetessdecreasessCa 2+ concentrationninnlymphocytessandddiminishes responsesstooinsulinnanddanti-CD33treatment Twentyyfourrhourssincubation withhanti-CD3 mAb restoressnormallresponseeofflymphocytes frommtypee11diabeticcpatients Discussion Conclusions Competingginterests:
2045,19835582,1, Background Methods Subjects Test Meals Protein Supplement Data Analysis Results Discussion Conclusion
2046,27107313,1," Introduction Editorial, see page 1451 Methods STUDY POPULATION TYPES OF STENT WITH ISR Procedure ANGIOGRAPHIC ANALYSIS AND OPTICAL COHERENCE TOMOGRAPHY MEDICAL THERAPY FOLLOW-UP AND ENDPOINTS Treatment of in-stent restenosis using BVS ETHICAL CONSIDERATIONS Statistics Results LESION CHARACTERISTICS PERIPROCEDURAL AND IN-HOSPITAL OUTCOMES LONG-TERM OUTCOMES Discussion Limitations Conclusions Impact on daily practice"
2047,15034020,0," Mapping of Epitopes for Autoantibodies to the Type 1 Diabetes Autoantigen IA-2 by Peptide Phage Display and Molecular Modeling: Overlap of Antibody and T Cell Determinants 1 Mutation of each of amino acids Asn 858 , Glu 836 , and Trp 799 reduced 96/3 Ab binding by >45%. Mutations of these residues also inhibited binding of serum autoantibodies from IA-2 Ab-positive type 1 diabetic patients. This study identifies a region commonly recognized by autoantibodies in type 1 diabetes that overlaps with dominant T cell determinants. The Journal of Immunology, 2004, 172: 4084 -4090. Materials and Methods Abs and sera Screening of random peptide phage display libraries Molecular modeling Site-directed mutagenesis Ab-binding analysis Results Identification of residues critical for 96/3 Ab binding by peptide phage display Localization of 96/3 Ab binding residues on IA-2 by molecular modeling Identification of critical 96/3 binding residues by site-directed mutagenesis Conformational changes in mutated IA-2 model structures Discussion 4089"
2048,19147600,1, Introduction Subjects and methods Anthropometrical and biochemical measurements Polymorphism search and genotyping Statistical analyses Results Unadjusted Discussion Declaration of interest Funding
2049,15654326,1," Karl S Lang 1,7 , Mike Recher 1,7 , Tobias Junt 1 , Alexander A Navarini 1 , Nicola L Harris 1 , Stefan Freigang 1 , Bernhard Odermatt 1 , Curdin Conrad 2 , Lars M Ittner 3 , Stefan Bauer 4 , Sanjiv A Luther 5 , Satoshi Uematsu 6 , Shizuo Akira 6 , Hans Hengartner 1 & Rolf M Zinkernagel 1 RESULTS Activated autoreactive T cells without disease Pancreatic T-cell infiltrations without disease MHC class I upregulation by LCMV versus pepitide TLRs regulate MHC class I expression on beta cells TLRS convert autoreactivity into overt disease IFN type I is essential for virus-induced diabetes DISCUSSION METHODS IFN-α ELISA. ACKNOWLEDGMENTS"
2050,4499917,1, Introduction Subjects and methods Study design Participants Treatment protocol Meal test Assays and methods of dosage Statistical analysis Results Discussion
2051,21770682,1," BACKGROUND MATERIAL AND METHODS Antiagregation and anticoagulation, relationship with upper gastrointestinal bleeding RESULTS Patients Drugs Table II. Pathologies that indicated the antiplatelet/anticoagulant treatment Endoscopic findings Bleeding recurrences Mortality DISCUSSION Multivariate analysis RR (IC95%) p-value NS NS NS"
2052,24093000,1, Introduction Methods Study population echocardiography NT-proANP plasma levels Statistical analysis Results Discussion Study limitations conclusions Author contributions Funding competing Interests Disclosures and ethics
2053,16148116,0," Materials and Methods Mice Chemicals, reagents, and mAbs RA-PLNA and Ab treatment ELISPOT assay Flow cytometry Immunohistology Cell culture and cytokine measurement Statistics Results Drug-induced type 1 vs type 2 responses are differently affected in CD80/CD86-and CD28-CTLA-4-deficient mice Effect of anti-CD80, anti-CD86, CTLA-4-Ig, or anti-CTLA-4 on Ab secretion and cytokine production in drug-induced type 1 vs type 2 responses in WT BALB/c mice Effect of anti-CD80, anti-CD86, CTLA-4-Ig, or anti-CTLA-4 on shifts in cell subtypes in drug-induced type 1 vs type 2 responses CTLA-4-Ig requires signaling via CD80 or CD86 to inhibit STZ-induced responses Discussion 3711 Disclosures"
2054,22411526,0, Introduction What are the indications of nutritional support in critically-ill cardiac patients? What is the most adequate administration route? What amount and type of energy substrates are required? Carbohydrate supply Fat supply What are the protein needs and characteristics of their supply? What is the most advisable type of formula? Are specific nutrients required? Carnitine Glutamine Arginine Taurine ω-3 fatty acids What micronutrient and vitamin requirements are needed? Recommendations Conflict of interests
2055,21461087,1, Introduction ORIGINAL ARTICLE Adverse Childhood Experiences and Smoking Persistence in Adults with Smoking-Related Symptoms and Illness Methods Definition of Persistent Smoking Adverse Childhood Experiences Depression Statistical Analysis Results ORIGINAL ARTICLE Discussion
2056,16694396,0, CASE REPORT R. SUMMARY
2057,16079611,0, 603 604 606 608 612
2058,19885093,1, Introduction Theory Analytical Model of the Microdialysis System Glucose Sensing Method Fabrication Experimental Setup Results and Discussion (9) Conclusions Funding:
2059,18296377,0, INTRODUCTION OVERVIEW OF DIETITIAN IN KOREA Job duty and work Area of dietitians Certified Dietetic Specialists Education for dietitian Current status of accredited dietitian training schools. Producing status of dietitians Employment status of dietitians CURRENT STATUS AND PROSPECT OF DIETI-TIANS' WORK AREA Business and Industry Clinical Nutrition Field School Food Service Kindergarten Community Health Nutrition Social Welfare Facilities Childcare Center AUTHOR DISCLOSURES
2060,23824770,0, CASE REPORT Case Report
2061,2205528,0, Subjects and methods Materials Subjects Preparation and purification of human insulin receptors Immunoprecipitation of iodinated receptors Islet cell cytoplasmic antibodies (ICA ) and anti-insulin antibodies (AIA ) Insulin binding inhibition assay ELISA test Statistical analysis Results Validation of ELISA to detect antibodies to insulin receptor Screening for antibodies to insulin receptor in Type 1 diabetes of recent onset Discussion
2062,16958300,0, INTRODUCTION Statins and acute coronary syndrome MODIFIABLE MAYOR RISK FACTORS Dyslipidemia Statins and Coronary heart disease Intensive vs. moderate lipid-lowering therapy Hypertension Hypertension and dyslipidemia Medications in hypertension Diabetes Diabetes and atherosclerosis Lifestyle modification in type 2 diabetes Diabetes and vascular complications Smoking Smoking and cardiovascular mortality Smoking cessation Obesity Obesity and cardiovascular disease Bariatric surgery and cardiovascular risk factors Pharmacological treatment in obesity Obstructive sleep apnea ACKNOWLEDGMENTS
2063,20413084,0, 2 PCOS
2064,24268736,0, INTRODUCTION RESULTS Inhibition of CaMKII or p38a Improves Insulin-Induced Akt Phosphorylation Distal to IR and IRS and in a FoxO1-Independent Manner Cell Metabolism Inhibition of CaMKII or p38a Improves Insulin-Induced Akt Phosphorylation by Suppressing TRB3 Cell Metabolism Cell Metabolism Cell Metabolism DISCUSSION Cell Metabolism Cell Metabolism EXPERIMENTAL PROCEDURES Mouse Experiments Portal Vein Insulin Infusion and Protein Extraction from Tissues Primary Hepatocytes Statistical Analysis SUPPLEMENTAL INFORMATION Immunoblot and RT-qPCR Assays XBP1 splicing Liver Triglyceride Measurement Glucose Production in Primary HCs
2065,15078639,0, NIACIN FORMULATIONS LDL-C AND TRIGLYCERIDE EFFECTS OF NIACIN HDL-C EFFECTS OF NIACIN NIACIN COMBINATION THERAPY IMPACT OF NIACIN ON OUTCOMES NIACIN THERAPY IN SELECTED PATIENT TYPES Atherogenic Dyslipidemia and the Metabolic Syndrome Diabetes Isolated Low HDL-C Hypertriglyceridemia NIACIN OR FIBRATES ADVERSE EFFECTS OF NIACIN THERAPY IMPROVING ADHERENCE WITH NIACIN THERAPY CONCLUSIONS Table 2. Steps to Prevent and Reduce Niacin-Induced Symptoms and Improve Adherence
2066,23746777,0," *Anna Taylor, Alan D Dangour, K Srinath Reddy"
2067,20464041,1, Saudi Med J 2010; Vol. 31 (5): 520-524 Results. A total of 1583 patients admitted with
2068,20980260,1, Experimental Procedures RESULTS STAT1 knockdown protects INS-1E and primary DISCUSSION IRF-1/GAPDH IRF-1/GAPDH SOCS-1/GAPDH SOCS-1/GAPDH SOCS-1/GAPDH SOCS-1/GAPDH SOCS-1/GAPDH SOCS-1/GAPDH CXCL1/GAPDH CXCL1/GAPDH CXCL9/GAPDH CXCL9/GAPDH CXCL10/GAPDH CXCL10/GAPDH
2069,4558418,0, Introduction Case Report Discussion Ethical Approval Disclosure Conflict of Interests
2070,12471632,1, SUBJECTS AND METHODS Subjects Procedures Data Analysis RESULTS DISCUSSION NOTES
2071,23082443,1, INTRODUCTION MATERIALS AND METHODS Statistical analysis RESULTS Variables Unlike the Wisconsin Epidemiologic Study of Diabetic Limitation of our study
2072,18836170,1," MATERIALS AND METHODS Patients Study Variables Statistical Analysis RESULTS DISCUSSION IOVS, March 2009, Vol. 50, No. 3 Risk Factors for Bilateral NTG 1217"
2073,18499899,0, PREVIOUS GENETIC APPROACHES GENOME-WIDE ASSOCIATION OPHTHALMOLOGY ENDOCRINOLOGY CARDIOLOGY ONCOLOGY Microarray and Genome-Wide Association IMMUNOLOGY Reviews NEUROLOGY OTHER DISEASE AREAS CONSORTIUMS Discussion
2074,25733347,0, Introduction Beta cells differentiate from human pluripotent stem cells Disease-specific stem cells and beta cells Engineering functional pancreatic grafts Encapsulation of transplanted cells Vascularization of transplanted cells Decellularized organs as a scaffold for tissue engineering Systemic approaches Antigen-specific approaches Combinatory approaches Modification of beta cells to escape immune attack Discussion
2075,18443503,1," METHODS Annals of Plastic Surgery • Volume 60, Number 3, March 2008 RESULTS Recurrence of Tumor Loss of Life Loss of Implant Flap Failure Cancer Stage DISCUSSION Annals of Plastic Surgery • Volume 60, Number 3, March 2008"
2076,25694986,0, Preoperative planning Surgical technique Comments
2077,26818725,1, Background Materials and methods Metagenomic datasets Identification and analysis of CRISPR cassettes Repeat clustering and the CRISPRmap tool Repeat BLAST to CRISPR database Results and discussions Repeat clustering with CRISPRmap Repeat BLAST to CRISPRdb database Comparison of CRISPR repeats found in different data Conclusions
2078,14707066,0," Regulation of Autoimmune Diabetes by Complete Freund's Adjuvant Is Mediated by NK Cells Materials and Methods Mice Abs, tetramers, and flow cytometry Immunostaining of NK cells and islet cells Selective depletion of NK and T cells ELISpot assays Purification of NK cells Adoptive transfer Statistical analysis Results CFA immunization prevents diabetes in NOD mice CFA immunization prevents the accumulation of cell-specific CTL in NOD mice CFA induces NK cells to accumulate in blood and to secrete IFN- CFA protection from diabetes is mediated by NK cells 939 Discussion"
2079,16141094,0, The Rise and Fall of Retiree Health Benefits Do Dental Benefits Matter? Will the Paradigm Be Changed?
2080,25624476,1," Results Significance Metformin Induced Multifunctional CD8 + TEM Expressing the Exhaustion AMPK Phosphorylation, Enhanced Bat3 Expression, and Caspase-3 Discussion Materials and Methods"
2081,22038422,0," Bavi Vythilingum 1 , Bonga Chiliza"
2082,20103532,0," Introduction Results Proteasome inhibitors block UCP2 degradation Ubiquitin is involved in UCP2 degradation Regulation of UCP2 degradation Journal of Cell Science 123 (4) Reconstitution of UCP2 degradation in vitro Discussion Materials and Methods Cell growth and UCP2 degradation Proteasome inhibition Bioenergetic modulation of UCP2 degradation in cells Measurement of reactive oxygen species, mitochondrial membrane potential and ATP levels in INS-1E cells Immunoblotting Journal of Cell Science 123 (4) Ubiquitin plasmid amplification and isolation Transfection experiments FKBP8 KD Ubiquitin plasmids Immunoprecipitation Reconstituted in vitro UCP2 degradation assay Cellular fractionation Chemicals Data analysis"
2083,17933080,0," INTRODUCTION Approach to Hyperkalemia Salim Lim REGULATION OF POTASSIUM HOMEOSTASIS Department of Internal Medicine, Medistra Hospital, Jakarta RENAL POTASSIUM HANDLING MANIFESTATION OF HYPERKALEMIA APPROACH TO HYPERKALEMIA DRUG-INDUCED HYPERKALEMIA TREATMENT OF HYPERKALEMIA CONCLUSION"
2084,17276047,0, Introduction The characteristics of T2DM: clinical complexity Genetic complexity of T2DM T2DM QTLs in humans Genes associated with Type 2 diabetes mellitus Disease incidence and/or severity Aging Genetic ancestry matters Epigenesis and chromosome structure affect expression of genetic information Genotype X environment interactions Converting science into practice Summary
2085,23473019,1, Introduction Materials and methods Population The evaluation model The OneTouch Verio ® system The comparison method Analytical quality goals Statistics Results The comparison method Evaluation of hematocrit interference Evaluation of OneTouch Verio ® under optimized and standardized conditions Evaluation of the OneTouch Verio ® meter in patient self-testing Evaluation of the user-friendliness of the OneTouch Verio ® meter Discussion
2086,25029061,1, Introduction Methods A cross-sectional study was undertaken at Results Discussion Conclusion
2087,17035934,1, METHODS Animals Pharmaceutical Agents Neuropsychopharmacobgy Glucose Clamp Procedures Analytical Procedures Calculations and Statistical Analyses RESULTS Effect of CLOZ on Suppression of GIR is Sustained Following Repeated Dosing Effects of Atypical Antipsychotics on Insulin-Stimulated Glucose Uptake DISCUSSION
2088,25205863,0," Risk Factor Measurement Determination of DN and Estimation of GFR RESULTS Prevalence of DR and DN in KNHANES V-2, 3 Risk Factors Associated With Microalbuminuria in Korean DM Patients DISCUSSION"
2089,23208858,0, . Angewandte Angewandte
2090,3996795,1, Materials and methods Animals Peripheral blood lymphocyte isolation Labelling of lymphocytes Transfer of diabetes and insulitis by means of activated lymphocytes Methods of sacrifice Organ examination Radiolabel detection methods Statistical analysis Results Fate of injected labelled peripheral blood lymphocytes in the circulation Incorporation of labelled lymphocytes into various organs Incorporation of la'belled lymphocytes after passive transfer of activated splenic lymphocytes from diabetic donors Discussion
2091,28360677,1, INTRODUCTION METHODS Research Article RESULTS Case 1 Case 2 Case 3 DISCUSSION Conflict of Interest: Financial Disclosure:
2092,20836897,0, The vascular perspective of the metabolic memory Good metabolic control mediates long-term benefit The potential role of oxidative stress Micro-and Macrovasculature Fibrosis of the microvascular interstitium The vascular continuum: Interaction between micro-and macrovasculature Jax
2093,25008169,1, Background Methods Results Discussion Conclusions
2094,23369247,0, Background Results Study subjects Plasma lipid profile reveals phenotype factors Phenotype factors have lesser effect on gene expression profile Significant biological pathways link gene expression profile with lipid profile and diabetes Discussion Materials and methods Subjects and clinical laboratory data Microarray experiments Microarray data analysis ESI-MS/MS lipid profiling Statistical analyses
2095,12926555,1, INTRODUCTION MATERIALS and METHODS Animals Diabetic rat model Preparation of liver microsomes In vitro studies into N-deethylation of lidocaine in rat liver microsomes Statistical analysis RESULTS and DISCUSSION
2096,10484602,0, INFLUENCE OF DIETARY FAT ON STEAROYL-C o A DESATURASE IN DISEASE STATES MECHANISMS OF POLYUNSATURATED FATTY ACID B. Post-transcriptional control CHOLESTEROL AS A REGULATOR OF SCD GENE EXPRESSION TRANSCRIPTIONAL REGULATION OF SCD GENES BY STEROL REGULATORY ELEMENT BINDING PROTEINS (SREBP s ) CONCLUSION AND FUTURE DIRECTION
2097,25714703,1, Introduction Methods Participants Procedures Measures Statistical Analyses Results Sleep Duration and Multisystem Risk Sleep Quality and Multisystem Biological Risk Poor Quality Sleep and Sleep Duration Depression Mechanisms Limitations and Strengths Conclusions Supporting Information
2098,15738376,1, METHODS SUBJECTS CONTINUOUS GLUCOSE MONITORING SYSTEM POLYSOMNOGRAPHY MONITORING OF CPAP USAGE QUESTIONNAIRES STATISTICAL ANALYSIS RESULTS COMMENT
2099,14707887,0, L'autosurveillance glycémique améliore significativement le contrôle métabolique du patient diabétique de type 2 Research design and methods Overall study design B Guerci et al. Treatment components Initial training and quality control of SMBG Laboratory measurements Statistical analyses Results Demographic data at baseline Drop-outs from therapy or assessment Primary efficacy criteria Outcome of HbA 1c levels Secondary efficacy criteria Changes in prescription of antidiabetic treatments and other treatments Figure 2 SMBG in type 2 diabetic patients Diet and physical activity compliance Adverse events (AE) Conclusions
2100,17603266,0, はじめに 薬剤の有効性を高める使用法を追求することや， 1078
2101,11818483,0, INTRODUCTION RECEPTOR STRUCTURE RXR AND HETERODIMERIZATION PEROXISOME PROLIFERATOR RESPONSE ELEMENT COACTIVATORS 412 LIGAND SCREENING ASSAYS NATURAL LIGANDS SYNTHETIC LIGANDS Physiologic Effects and Mechanisms of Insulin Sensitization Inflammation Cancer Hypertension Genetic Variation 420 PPARα Cloning and Characterization Dyslipidemia and Atherosclerosis 422 Inflammation 423 Genetic Variation PPARδ Cloning and Characterization Dyslipidemia and Insulin Resistance 424 Fertility Cancer Central Nervous System CONCLUSIONS AND FUTURE DIRECTIONS
2102,29117552,0," SUMMARY INTRODUCTION RESULTS PG 1-61 Identified in Human Plasma by Mass Spectrometry, Immunoassays, and Size-Exclusion Chromatography PG 1-61 Is Secreted in Several Clinical Conditions Associated with Hyperglucagonemia PG 1-61 Activates the Glucagon Receptor, Stimulates Insulin Secretion in b Cells, and Increases Blood Glucose in Rats PG 1-61 Increases cAMP Levels in Primary Human Hepatocytes and DISCUSSION EXPERIMENTAL PROCEDURES Approvals Study Design Animal Studies Isolated Perfused Rat Pancreas Cell-Culture Experiments Receptor Studies qPCR and Small Interfering RNAs Western Blot Analysis Peptides and Antibodies Biochemical Measurements Gel Filtration of Human Plasma Mass-Spectrometry-Based Detection of Glucagon Data and Materials Availability Calculations and Statistics SUPPLEMENTAL INFORMATION"
2103,16801375,1, MATERIALS AND METHODS Study population Blood assays Other baseline covariates Statistical analysis RESULTS DISCUSSION
2104,18087641,0," Introduction Tel: +86-21-5492-2824; Fax: +86-21-5492-2825; Shanghai, China Smoking . Tel: +86-21-5492-2824; Fax: +86-21-5492-2825; Shanghai, China Obesity and dyslipidemia Lifestyle changes for improving ED http://www.asiaandro.com; aja@sibs.ac.cn Alcohol consumption Tel: +86-21-5492-2824; Fax: +86-21-5492-2825; Shanghai, China Physical activity Others Conclusion"
2105,16467150,1, Results Discussion Materials and Methods
2106,11238596,1, Introduction Materials and Methods 653 Results Discussion
2107,1070492,0," As stated correctly in the letter by Jiang et al., the analysis of differences in"
2108,11717395,1, Methods Results Hnf1 Controls Expression of hnf4 Selectively in Pancreatic Cells. Hnf1 Directly Controls hnf4 and hnf3 mRNA Specifically in the Discussion Pancreatic hnf4 mRNA Is Transcribed from a Distant Upstream The Pancreatic hnf1-Dependent Genetic Program Is Activated in
2109,25051347,0, Introduction Methods Study design Platelet Aggregometry Genotyping Study endpoint Statistical analysis Results Patient Demographics Genotype distribution Suggested path model explaining associations between genetic and clinical variables Development of a risk score Survival analysis Adapted path model Discussion Limitations Conclusion
2110,15824463,1, Introduction Methods Subjects Biological Measurements Detecting Genotypes of SNPs Statistical Analysis Results Discussion
2111,12600977,0, Dr. Whitfield replies:
2112,5135738,1, METHODS SERUM FOLIC ACID AND VITAMIN B12 ASSAY RESULTS DISCUSSION
2113,15559877,1," Summary HYPERCHOLESTEROLEMIA AND HYPERTENSION IN MEXICO: URBAN CONJUNCTIVE CONSOLIDATION WITH OBESITY, DIABETES AND SMOKING Métodos Definiciones operacionales Análisis estadístico Resultados Prevalencia de interacción de factores de riesgo edigraphic.com Discusión Conclusiones edigraphic.com Agradecimientos"
2114,1969425,0, Islet anatomy Insulin secretion Glucagon secretion
2115,29324453,0," Introduction Human Studies Gestational Weight Gain and Maternal Obesity Maternal Undernutrition Paternal and Grandpaternal Diet Model Systems to Study Developmental Origins in Humans Animal Studies Maternal Dietary Interventions Catch-Up Growth Environmental Toxicants Cigarette Smoke Polychlorinated Biphenyls Maternal Social Stress and Mental Health Parental Longevity and Age at Conception, Telomere Length, and Season of Birth Season of Birth Paternal and Maternal Longevity and Age at Conception Telomere Length Exercise Conclusions"
2116,9973524,0," A Conformation-Dependent Epitope in Addison's Disease and Other Endocrinological Autoimmune Diseases Maps to a Carboxyl-Terminal Functional Domain of Human Steroid 21-Hydroxylase 1 Andrej Nikoshkov, 2 * Alberto Falorni, † Svetlana Lajic,* ‡ Stefano Laureti, † Anna Wedell,* Åke Lernmark, § and Holger Luthman* Materials and Methods Patients Construction of plasmids Site-directed mutagenesis Expression of the 21OH protein in COS-1 cells Western blotting 21OH-radiobinding assay Synthetic peptides Analyses of the chromosomal CYP21 sequence in Addison's disease patients Results Immunoprecipitation of 21OH mutants Western blot experiments Sequence analyses of CYP21 genes from patients with Addison's disease Discussion"
2117,22120969,0, Introduction Materials and methods Cell culture Measurement of eNOS activity www.chinaphar.com Ding L et al Results GLP-1 promotes eNOS activities in HUVECs GLP-1 stimulates the phosphorylation of eNOS in HUVECs Discussion www.nature.com/aps Ding L et al
